tweet_id,Disease,Label,Text,Username
4636047505,Influenza,0,Canadian studies says people getting the seasonal flu shot are twice as likely to contract H1N1 http://bit.ly/4Ev3ho,whitenhiemer
3870336510,Influenza,0,"Air Kisses, Hugs, and Other Ways to Avoid Getting Swine Flu http://bit.ly/TF3q5",tomheston
4033778103,Influenza,0,#swineflu Saudis dismiss Hajj swine flu fears but other states worry - AFP: AFPSaudis dismiss Hajj swin.. http://bit.ly/27QNdM,swineflu2
4427192511,Influenza,0,is lil worried. 07 Chinese year of the Chicken bird flu; 08 Horse Australia got equine flu; 09 Pig swine flu. 10? It's the year of the Cock!,CheryflavourPie
4607707014,Influenza,0,"Also could this virus have been related to the bird flu? Can we trust world -wide
governments to tell  the  truth!!!!!!!!",TUTTALLEN009
4596009913,Influenza,0,RT @boandcharlie: Woman paralyzed after getting swine flu shot in 1976 http://url4.eu/a26m,One_Good_Cause
5833921709,Influenza,0,RT yes getting her the flu and h1n1 shot  @FatherWizard: @cdanigirl She all right ?,cdanigirl
4344923202,Influenza,0,"@KiaraSlytherin *laughs as magical birds flutter around her head* If you don't get an Outstanding for this, someone's getting the bird flu!",CassieRavenclaw
26777628206,Influenza,0,Getting my flu shot,Herioc_Zebra
5687178909,Influenza,0,@blakeshelton how does that keep you from getting the flu?? cuz no one will come near you? LOL ;),BerD23
4624560710,Influenza,0,Swine Flu - How worried are you? - Take our poll now and check out how others feel! http://bit.ly/A07Zq - Vote Today!,TransWorkflow
3764350111,Influenza,0,Swine Flu vs Bird Flu vs Zombie Flu http://post.ly/416X #Infographic,Yamamayoo
4560767014,Influenza,0,"RT @dabreakradio: RT @talkhani: mad cow, sars, bird flu & now swine..so whats next? &lt;caterpillar clap",jholla414
4553709914,Influenza,0,NYT: Swine Flu Spreading Widely; Worry Over Pregnant Women For more: http://bit.ly/HjgM1,alijahgreen
4746624906,Influenza,0,RT @AFFIONCROCKETT: For all of u contemplating getting the swine flu shot.. just know that THEY'RE INJECTING U .. http://bit.ly/XEabR,JonKeel
3937273901,Influenza,0,"At least I may have some immunity if the 'pandemic' arrives...sort of a head start eh? Then again, fear factor/hype, remember SARS, Bird Flu",paul_48n
4809079811,Influenza,0,Work then getting flu shots with @MissHelmey and her mom. Ouch!,Zomperific
5072070105,Influenza,0,"@amypaffrath Got my flu shot yesterday. I usually get sick after, but so far nothing-getting sick hits me pretty quick-I'd get it though.",travelgirl1971
