tweet_id,Label,Text
6003319713,3,Getting a little fed up with having (Insert Random Animal) flu. Most depressing.
5991525204,3,Just getting over swine flu.  It must have been the roast pork I ate the other Sunday!
5989718714,2,this flu season is a horrible. everyone is getting sick. makes you dislike winter that much more. winter is not fun when one has a cold.
5986621813,2,so glad @blakewsmith won't be getting the pig flu this season...guess I am on my own
5986140306,3,@saracrow Luck luck. I got mine Friday.  My arm wasn't as sore as years past.  Either I'm getting stronger or the flu is getting weaker.
5985417606,3,"At home. I think I have the stomach flu or something. I woke up, started getting ready for school, and then unfortunately..well you know.."
5984946706,2,The swine flu is the only thing Calipari is worried about in Cancun - http://tinyurl.com/yereux6 #kentuckywildcats
5932814112,3,My stomach isn't feeling really good today and i'm gonna be busy at church later playing lasertag. I think i'm getting gastric flu. Boos~ =(
5932278302,3,"i think ive just about gotten over this flu, but still taking it easy tonight getting my c-span on"
4327686009,2,@drspectrum: I hope you're not getting the flu!  You need to get lots of rest tonight.
5235612004,2,Working through second kiddo with the flu. Yea!  We all got our flu shots. Should we worry about getting the H1N1 shot?!?!
5929960907,3,in bed with cramps :( coughing and sneezing im getting the flu for sure URGHHH just my luck!!
5235366113,3,"Hopefully getting the seasonal flu shot today if it hasn't run out this time, then rehearsal with Big East as the Who for Halloween."
5926793900,3,RT @DEEJAYKINGMIDAS: I DONT KNOW  IS WHICH ONE SWINE FLU OR BIRD FLU BUT MI FEEL FUCK UP =))))))))))) lol
5926297601,3,"don't worry it's not swine flu, i already got the shot against it like 3 weeks ago."
5234564007,3,"Trying to decide whether or not to get the H1N1 flu vaccine today....Worried it might make me sick, worried I might get sick without it."
5924620503,3,Oh yay! Getting chippy food for dinner. I'm getting a pizza supper. Maybe the grease will eat my flu bug ^_^
5923839812,2,Just returned from the Doctors. They clearly were thinking I had swine flu.. I actually have bronchitis.
5922861314,3,It was a Robitussin Nighttime Cold & Flu kind of night. I think I may be getting a cold. Tell my nose breathing isn't optional. Poo...
5234253313,2,"@Stephypbaybe how that sucks, how u dnt have the flu, its getting around fast right now. hope it goes well for u :)"
5234220406,2,The Hosp. called Elijah has the swine flu. omg Now I&#39;m so scared
5234183214,2,"@Jah423 I blame marissa lol. Pple getting the flu after just being around her. Aaron automatically got sick,juanita with her flu,me with my"
5233811803,3,"RT @AdamWSYX6: Getting my seasonal flu shot today, first one ever. And going in early for H1N1 clinic story.  Expect lines."
5233654812,2,"what is up with my boy?  This morning I thought he had the flu, now at 1pm he wants breakfast!  Thinking we'll start with some toast for now"
5922229214,3,so yeah.. myheads killin me:/ and I think im getting the flu...hope it isn't the swine flu :x
5233273713,2,"thank you everyone who responded to the poll! apparently, the majority is not planning on getting the H1N1 flu shot."
3872941402,2,jesus christ all the EGM/1Up people are getting swine flu D; Worst day ever.
5918860304,3,"Getting better,no more piggy flu 4 me,It was nasty, dont wish it on anyone.Ppl wash ur hands and use the hand sanitizer,TRUST ME"
